line,nct_id,serotype,assay,value,old_lower,old_upper,new_lower,new_upper,source_class_title,source_group_title,match_type
1486,NCT00373958,1,GMC,0.0299999999,0,0,0.03,0.03,"Additional Serotypes - Serotype 1 (n=235,223)",7vPnC,unique
1487,NCT00373958,3,GMC,0.0700000000,0,0,0.05,0.08,"Additional Serotypes - Serotype 3 (n=232,223)",7vPnC,unique
1488,NCT00373958,1,GMC,5.0599999999,0,0,4.43,5.80,"Additional Serotypes - Serotype 1 (n=235,223)",13vPnC,unique
1490,NCT00373958,4,GMC,3.7299999999,0,0,3.28,4.24,"Common Serotypes - Serotype 4 (n=235,223)",13vPnC,unique
1491,NCT00373958,3,GMC,0.9399999999,0,0,0.83,1.05,"Additional Serotypes - Serotype 3 (n=232,223)",13vPnC,unique
1492,NCT00373958,6A,GMC,1.8700000000,0,0,1.60,2.19,"Additional Serotypes - Serotype 6A (n=235,223)",7vPnC,unique
1495,NCT00373958,6A,GMC,8.1999999999,0,0,7.30,9.20,"Additional Serotypes - Serotype 6A (n=235,223)",13vPnC,unique
1497,NCT00373958,7F,GMC,0.0500000000,0,0,0.04,0.05,"Additional Serotypes - Serotype 7F (n=235,223)",7vPnC,unique
1498,NCT00373958,19A,GMC,8.5500000000,0,0,7.64,9.56,"Additional Serotypes - Serotype 19A (n=236,223)",13vPnC,unique
1501,NCT00373958,19A,GMC,3.5400000000,0,0,3.15,3.98,"Additional Serotypes - Serotype 19A (n=236,223)",7vPnC,unique
1506,NCT00373958,7F,GMC,5.6699999999,0,0,5.01,6.42,"Additional Serotypes - Serotype 7F (n=235,223)",13vPnC,unique
1510,NCT00373958,4,GMC,5.4900000000,0,0,4.91,6.13,"Common Serotypes - Serotype 4 (n=235,223)",7vPnC,unique
1546,NCT00368966,19A,GMC,3.0699999999,0,0,2.79,3.37,"Additional Serotype - Serotype 19A (n=267,267,226)",13vPnC After Infant Series Dose 3,unique
1550,NCT00368966,5,GMC,1.9299999999,0,0,1.74,2.13,"Additional Serotype - Serotype 5 (n=261,261,234)",13vPnC After Infant Series Dose 3,unique
1551,NCT00368966,6A,GMC,7.0700000000,0,0,6.35,7.87,"Additional Serotype - Serotype 6A (n=269,269,235)",13vPnC After the Toddler Dose,unique
1552,NCT00368966,3,GMC,1.0700000000,0,0,0.95,1.20,"Additional Serotype - Serotype 3 (n=267,267,243)",13vPnC After the Toddler Dose,unique
