assay,serotype,vaccine,dose_description,gmc_or_gmt,pct_threshold_responders,threshold,N,sigma_ln,se_ln,derived_lower_limit,derived_upper_limit,status
GMC,19A,PCV13 (Walvax),1m post boost child,13.34,100.0,0.35,475,,,NA,NA,LEFT_NA_ceiling_or_floor
GMC,5,PCV7,1m post boost child,0.16,40.04,0.35,487,3.1023,0.1406,0.12,0.21,DERIVED_lognormal
GMC,3,PCV13 (Walvax),1m post boost child,1.89,99.16,0.35,475,0.7053,0.0324,1.77,2.01,DERIVED_lognormal
GMC,18C,PCV13 (Walvax),1m post boost child,2.44,99.79,0.35,475,0.6783,0.0311,2.30,2.59,DERIVED_lognormal
GMC,9V,PCV7,1m post boost child,3.87,100.0,0.35,487,,,NA,NA,LEFT_NA_ceiling_or_floor
GMC,6A,PCV7,1m post boost child,3.8,97.74,0.35,487,1.1908,0.0540,3.42,4.22,DERIVED_lognormal
GMC,6B,PCV13 (Walvax),1m post boost child,10.01,100.0,0.35,475,,,NA,NA,LEFT_NA_ceiling_or_floor
GMC,7F,PCV13 (Walvax),1m post boost child,4.59,100.0,0.35,475,,,NA,NA,LEFT_NA_ceiling_or_floor
GMC,18C,PCV7,1m post boost child,3.9,99.59,0.35,487,0.9119,0.0413,3.60,4.23,DERIVED_lognormal
GMC,1,PCV13 (Walvax),1m post boost child,2.79,99.79,0.35,475,0.7251,0.0333,2.61,2.98,DERIVED_lognormal
GMC,7F,PCV7,1m post boost child,0.31,66.74,0.35,487,,,NA,NA,LEFT_NA_invalid_sign
GMC,23F,PCV7,1m post boost child,10.81,99.79,0.35,487,1.1983,0.0543,9.72,12.02,DERIVED_lognormal
GMC,6A,PCV13 (Walvax),1m post boost child,5.82,99.58,0.35,475,1.0666,0.0489,5.29,6.41,DERIVED_lognormal
GMC,19F,PCV13 (Walvax),1m post boost child,12.18,100.0,0.35,475,,,NA,NA,LEFT_NA_ceiling_or_floor
GMC,4,PCV13 (Walvax),1m post boost child,3.19,99.79,0.35,475,0.7719,0.0354,2.98,3.42,DERIVED_lognormal
GMC,5,PCV13 (Walvax),1m post boost child,1.58,97.89,0.35,475,0.7419,0.0340,1.48,1.69,DERIVED_lognormal
GMC,19A,PCV7,1m post boost child,3.0,99.79,0.35,487,0.7505,0.0340,2.81,3.21,DERIVED_lognormal
GMC,14,PCV7,1m post boost child,17.89,100.0,0.35,487,,,NA,NA,LEFT_NA_ceiling_or_floor
GMC,4,PCV7,1m post boost child,4.27,99.79,0.35,487,0.8738,0.0396,3.95,4.61,DERIVED_lognormal
GMC,19F,PCV7,1m post boost child,7.84,100.0,0.35,487,,,NA,NA,LEFT_NA_ceiling_or_floor
GMC,14,PCV13 (Walvax),1m post boost child,13.97,99.79,0.35,475,1.2878,0.0591,12.44,15.69,DERIVED_lognormal
GMC,9V,PCV13 (Walvax),1m post boost child,4.22,100.0,0.35,475,,,NA,NA,LEFT_NA_ceiling_or_floor
GMC,3,PCV7,1m post boost child,1.02,92.2,0.35,487,0.7540,0.0342,0.95,1.09,DERIVED_lognormal
GMC,6B,PCV7,1m post boost child,11.7,99.79,0.35,487,1.2259,0.0556,10.49,13.05,DERIVED_lognormal
GMC,1,PCV7,1m post boost child,0.67,91.38,0.35,487,0.4759,0.0216,0.64,0.70,DERIVED_lognormal
GMC,23F,PCV13 (Walvax),1m post boost child,6.9,100.0,0.35,475,,,NA,NA,LEFT_NA_ceiling_or_floor
GMC,18C,PCV13 (Walvax),1m post primary child,2.91,98.3,0.35,471,0.9990,0.0460,2.66,3.18,DERIVED_lognormal
GMC,6A,PCV7,1m post primary child,0.58,78.44,0.35,487,0.6417,0.0291,0.55,0.61,DERIVED_lognormal
GMC,14,PCV7,1m post primary child,16.53,99.79,0.35,487,1.3466,0.0610,14.67,18.63,DERIVED_lognormal
GMC,1,PCV7,1m post primary child,0.3,57.49,0.35,487,,,NA,NA,LEFT_NA_invalid_sign
GMC,14,PCV13 (Walvax),1m post primary child,10.38,100.0,0.35,471,,,NA,NA,LEFT_NA_ceiling_or_floor
GMC,23F,PCV13 (Walvax),1m post primary child,2.93,97.24,0.35,471,1.1082,0.0511,2.65,3.24,DERIVED_lognormal
GMC,3,PCV7,1m post primary child,0.33,45.17,0.35,487,0.4848,0.0220,0.32,0.34,DERIVED_lognormal
GMC,19A,PCV7,1m post primary child,1.06,97.13,0.35,487,0.5831,0.0264,1.01,1.12,DERIVED_lognormal
GMC,6A,PCV13 (Walvax),1m post primary child,1.96,96.82,0.35,471,0.9287,0.0428,1.80,2.13,DERIVED_lognormal
GMC,5,PCV7,1m post primary child,0.05,16.63,0.35,487,2.0084,0.0910,0.04,0.06,DERIVED_lognormal
GMC,7F,PCV7,1m post primary child,0.05,24.23,0.35,487,2.7842,0.1262,0.04,0.06,DERIVED_lognormal
GMC,6B,PCV13 (Walvax),1m post primary child,1.25,90.45,0.35,471,0.9735,0.0449,1.14,1.36,DERIVED_lognormal
GMC,4,PCV13 (Walvax),1m post primary child,4.51,100.0,0.35,471,,,NA,NA,LEFT_NA_ceiling_or_floor
GMC,18C,PCV7,1m post primary child,4.8,97.74,0.35,487,1.3074,0.0592,4.27,5.39,DERIVED_lognormal
GMC,3,PCV13 (Walvax),1m post primary child,1.67,98.09,0.35,471,0.7539,0.0347,1.56,1.79,DERIVED_lognormal
GMC,5,PCV13 (Walvax),1m post primary child,1.88,98.51,0.35,471,0.7737,0.0357,1.75,2.02,DERIVED_lognormal
GMC,9V,PCV13 (Walvax),1m post primary child,3.72,99.15,0.35,471,0.9903,0.0456,3.40,4.07,DERIVED_lognormal
GMC,1,PCV13 (Walvax),1m post primary child,2.15,99.58,0.35,471,0.6888,0.0317,2.02,2.29,DERIVED_lognormal
GMC,6B,PCV7,1m post primary child,3.52,98.97,0.35,487,0.9970,0.0452,3.22,3.85,DERIVED_lognormal
