line,nct_id,serotype,assay,dose_number,vaccine,value,old_lower,old_upper,new_lower,new_upper,source_table
3209,NCT03512288,22F,OPA,4,PCV13,16.5,NA,NA,11,24.9,Table 4 (7 additional serotypes)
3210,NCT03512288,6B,OPA,4,PCV20,1354.90000000000009094947017729282379150390625,NA,NA,987.1,1859.8,Table 3 (13 matched serotypes)
3211,NCT03512288,4,OPA,4,PCV20,490.30000000000001136868377216160297393798828125,NA,NA,310.6,774,Table 3 (13 matched serotypes)
3212,NCT03512288,3,OPA,4,PCV13,109.2999999999999971578290569595992565155029296875,NA,NA,92.4,129.2,Table 3 (13 matched serotypes)
3213,NCT03512288,18C,OPA,4,PCV20,2016.200000000000045474735088646411895751953125,NA,NA,1596.5,2546.1,Table 3 (13 matched serotypes)
3214,NCT03512288,33F,OPA,4,PCV13,135.599999999999994315658113919198513031005859375,NA,NA,77.7,236.5,Table 4 (7 additional serotypes)
3215,NCT03512288,23F,OPA,4,PCV20,693.1000000000000227373675443232059478759765625,NA,NA,519.9,923.8,Table 3 (13 matched serotypes)
3216,NCT03512288,14,OPA,4,PCV20,933.799999999999954525264911353588104248046875,NA,NA,715.8,1218.1,Table 3 (13 matched serotypes)
3217,NCT03512288,18C,OPA,4,PCV13,2703.3000000000001818989403545856475830078125,NA,NA,1980.4,3690,Table 3 (13 matched serotypes)
3218,NCT03512288,9V,OPA,4,PCV20,1280.200000000000045474735088646411895751953125,NA,NA,981.6,1669.7,Table 3 (13 matched serotypes)
3219,NCT03512288,19A,OPA,4,PCV20,651.299999999999954525264911353588104248046875,NA,NA,519.9,816,Table 3 (13 matched serotypes)
3220,NCT03512288,14,OPA,4,PCV13,1127.90000000000009094947017729282379150390625,NA,NA,831.5,1530,Table 3 (13 matched serotypes)
3221,NCT03512288,33F,OPA,4,PCV20,8244.600000000000363797880709171295166015625,NA,NA,5797.7,11724.2,Table 4 (7 additional serotypes)
3222,NCT03512288,11A,OPA,4,PCV20,5307.6999999999998181010596454143524169921875,NA,NA,4007.3,7030.2,Table 4 (7 additional serotypes)
3223,NCT03512288,19F,OPA,4,PCV13,751,NA,NA,546.6,1032,Table 3 (13 matched serotypes)
