line,trial_id,serotype,assay,csv_value,old_lower,old_upper,new_lower,new_upper,old_participants,new_participants,group,schedule,month
4118,EudraCT 2012-005366-35,19A,OPA,355.8,0,0,219.9,575.6,,44,PCV13,3+1,12
4119,EudraCT 2012-005366-35,5,OPA,21.2,0,0,13.6,33.1,,48,PHiD-CV,3+1,0
4120,EudraCT 2012-005366-35,1,OPA,287.7,0,0,213.7,387.3,,51,PHiD-CV,3+1,1
4121,EudraCT 2012-005366-35,14,OPA,531.8,0,0,373.0,758.1,,51,PHiD-CV,3+1,0
4122,EudraCT 2012-005367-27,1,OPA,11.6,0,0,8.5,15.7,,48,PCV13,2+1,12
4123,EudraCT 2012-005366-35,5,OPA,38.4,0,0,24.1,61.0,,34,PCV13,3+1,12
4124,EudraCT 2012-005366-35,23F,OPA,3470.9,0,0,2774.5,4342.0,,51,PHiD-CV,3+1,1
4125,EudraCT 2012-005367-27,3,OPA,4.4,0,0,3.9,4.9,,38,PHiD-CV,2+1,0
4126,EudraCT 2012-005367-27,1,OPA,226.8,0,0,161.7,318.0,,49,PCV13,2+1,1
4127,EudraCT 2012-005366-35,6A,OPA,671.0,0,0,414.2,1087.1,,46,PHiD-CV,3+1,12
4128,EudraCT 2012-005367-27,6B,OPA,4332.1,0,0,3203.6,5858.1,,49,PCV13,2+1,1
4129,EudraCT 2012-005367-27,4,OPA,1995.2,0,0,1598.0,2491.2,,49,PCV13,2+1,1
4130,EudraCT 2012-005366-35,23F,OPA,6561.6,0,0,4277.3,10065.7,,45,PCV13,3+1,1
4131,EudraCT 2012-005367-27,6C,OPA,189.4,0,0,73.4,488.9,,36,PHiD-CV,2+1,12
4132,EudraCT 2012-005367-27,5,OPA,733.7,0,0,528.5,1018.7,,38,PHiD-CV,2+1,1
4133,EudraCT 2012-005367-27,6B,OPA,43.8,0,0,21.5,89.6,,46,PCV13,2+1,0
4134,EudraCT 2012-005367-27,19F,OPA,157.5,0,0,100.6,246.7,,38,PHiD-CV,2+1,0
4135,EudraCT 2012-005367-27,6A,OPA,710.6,0,0,402.0,1256.2,,38,PHiD-CV,2+1,12
4136,EudraCT 2012-005367-27,19F,OPA,2720.6,0,0,2054.4,3603.0,,38,PHiD-CV,2+1,1
4137,EudraCT 2012-005366-35,6A,OPA,1097.4,0,0,837.5,1438.1,,44,PCV13,3+1,12
4138,EudraCT 2012-005367-27,7F,OPA,721.8,0,0,533.7,976.2,,37,PHiD-CV,2+1,0
4139,EudraCT 2012-005366-35,9V,OPA,537.0,0,0,368.8,781.9,,44,PHiD-CV,3+1,12
4140,EudraCT 2012-005367-27,19F,OPA,180.5,0,0,115.7,281.8,,49,PCV13,2+1,12
4141,EudraCT 2012-005366-35,14,OPA,1780.5,0,0,1444.1,2195.2,,51,PHiD-CV,3+1,1
4142,EudraCT 2012-005367-27,4,OPA,43.8,0,0,23.1,82.9,,35,PHiD-CV,2+1,0
4143,EudraCT 2012-005366-35,19F,OPA,2769.6,0,0,2152.4,3563.7,,45,PCV13,3+1,1
4144,EudraCT 2012-005366-35,23F,OPA,1338.3,0,0,888.9,2015.0,,44,PCV13,3+1,12
4145,EudraCT 2012-005367-27,23F,OPA,283.3,0,0,130.1,616.6,,36,PHiD-CV,2+1,12
4146,EudraCT 2012-005367-27,9V,OPA,43.6,0,0,22.4,84.9,,38,PHiD-CV,2+1,0
4147,EudraCT 2012-005366-35,1,OPA,5.7,0,0,4.5,7.1,,44,PCV13,3+1,0
4148,EudraCT 2012-005367-27,18C,OPA,714.6,0,0,443.1,1152.4,,49,PCV13,2+1,12
4149,EudraCT 2012-005367-27,9V,OPA,2815.0,0,0,2161.9,3665.4,,49,PCV13,2+1,1
4150,EudraCT 2012-005366-35,18C,OPA,772.7,0,0,536.6,1112.9,,43,PCV13,3+1,12
4151,EudraCT 2012-005366-35,14,OPA,3376.4,0,0,2345.3,4860.7,,45,PCV13,3+1,1
4152,EudraCT 2012-005366-35,1,OPA,5.7,0,0,4.3,7.7,,44,PCV13,3+1,12
4153,EudraCT 2012-005366-35,3,OPA,4.9,0,0,3.8,6.2,,50,PHiD-CV,3+1,0
4154,EudraCT 2012-005366-35,6B,OPA,6289.5,0,0,4807.6,8228.3,,51,PHiD-CV,3+1,1
4155,EudraCT 2012-005366-35,19A,OPA,2778.6,0,0,2102.1,3672.9,,51,PHiD-CV,3+1,1
4156,EudraCT 2012-005366-35,6B,OPA,146.1,0,0,81.4,262.2,,45,PCV13,3+1,0
4157,EudraCT 2012-005367-27,5,OPA,470.4,0,0,377.6,586.1,,49,PCV13,2+1,1
4158,EudraCT 2012-005366-35,7F,OPA,1470.7,0,0,1125.1,1922.5,,45,PCV13,3+1,12
4159,EudraCT 2012-005366-35,6C,OPA,10499.0,0,0,8059.5,13676.9,,45,PCV13,3+1,1
4160,EudraCT 2012-005366-35,3,OPA,7.9,0,0,5.6,11.1,,43,PCV13,3+1,12
4161,EudraCT 2012-005367-27,19F,OPA,2137.0,0,0,1655.0,2759.4,,49,PCV13,2+1,1
4162,EudraCT 2012-005366-35,9V,OPA,212.9,0,0,136.4,332.2,,49,PHiD-CV,3+1,0
4163,EudraCT 2012-005367-27,5,OPA,32.2,0,0,19.6,53.0,,36,PHiD-CV,2+1,0
4164,EudraCT 2012-005366-35,3,OPA,205.5,0,0,164.5,256.6,,51,PHiD-CV,3+1,1
4165,EudraCT 2012-005367-27,6B,OPA,6933.8,0,0,5165.6,9307.2,,38,PHiD-CV,2+1,1
4166,EudraCT 2012-005366-35,9V,OPA,732.9,0,0,525.8,1021.6,,44,PCV13,3+1,12
4167,EudraCT 2012-005366-35,1,OPA,5.6,0,0,4.5,6.9,,51,PHiD-CV,3+1,0
4168,EudraCT 2012-005366-35,19A,OPA,3004.9,0,0,2391.4,3775.7,,45,PCV13,3+1,1
4169,EudraCT 2012-005367-27,3,OPA,14.3,0,0,9.1,22.5,,32,PHiD-CV,2+1,12
4170,EudraCT 2012-005366-35,6B,OPA,657.3,0,0,466.0,927.0,,48,PHiD-CV,3+1,12
4171,EudraCT 2012-005366-35,7F,OPA,797.6,0,0,624.4,1018.8,,45,PCV13,3+1,0
4172,EudraCT 2012-005367-27,5,OPA,40.1,0,0,28.0,57.4,,48,PCV13,2+1,12
4173,EudraCT 2012-005366-35,5,OPA,72.8,0,0,50.0,106.0,,46,PHiD-CV,3+1,12
4174,EudraCT 2012-005366-35,7F,OPA,585.4,0,0,455.8,751.9,,51,PHiD-CV,3+1,0
4175,EudraCT 2012-005367-27,19A,OPA,292.0,0,0,183.0,465.9,,48,PCV13,2+1,12
4176,EudraCT 2012-005367-27,6B,OPA,389.2,0,0,224.5,674.6,,38,PHiD-CV,2+1,12
4177,EudraCT 2012-005367-27,18C,OPA,490.0,0,0,276.4,868.8,,37,PHiD-CV,2+1,12
