clinical_trial_study_name,clinical_trial_study_id,clinical_trial_sponsor,clinical_trial_responsible_party,clinical_trial_phase,location_country_code,location_continent,study_eligibility_standard_age_list,study_eligibility_ethnicity,outcome_overview_title,outcome_overview_id,outcome_overview_description,outcome_overview_time_frame,outcome_overview_assay,outcome_overview_dose_number,outcome_overview_participants,outcome_overview_serotype,outcome_overview_value,outcome_overview_upper_limit,outcome_overview_lower_limit,outcome_overview_ratio,outcome_overview_vaccine,outcome_overview_immunocompromised_population,outcome_overview_manufacturer,outcome_overview_dose_description,outcome_overview_schedule,outcome_overview_time_frame_weeks,outcome_overview_confidence_interval,outcome_overview_ci_source,outcome_overview_percent_responders
Immunogenicity and Safety of BE-PCV14 (PNEUBEVAX 14) vs PCV13 in a 2p+1 Schedule in Healthy Indian Infants,CTRI/2022/11/047366,Biological E Limited,Biological E Limited,Phase 3,IN,Asia,"[""Child""]",,BE-PCV-14,,"GMC of anti-PnCPS IgG antibodies 1 month after 2nd primary dose (2p+1 schedule: primary doses at 6 & 14 weeks), PP population",Day 84 (post-primary),GMC,2,186,1,1.99,2.28,1.73,0.66,PCV14 (PneuBevax),,Biological E,1m post primary child,2+1 child,12,,,
Immunogenicity and Safety of BE-PCV14 (PNEUBEVAX 14) vs PCV13 in a 2p+1 Schedule in Healthy Indian Infants,CTRI/2022/11/047366,Biological E Limited,Biological E Limited,Phase 3,IN,Asia,"[""Child""]",,PCV-13,,"GMC of anti-PnCPS IgG antibodies 1 month after 2nd primary dose (2p+1 schedule: primary doses at 6 & 14 weeks), PP population",Day 84 (post-primary),GMC,2,194,1,3.00,3.47,2.60,,PCV13 (Pfizer),,Pfizer,1m post primary child,2+1 child,12,,,
Immunogenicity and Safety of BE-PCV14 (PNEUBEVAX 14) vs PCV13 in a 2p+1 Schedule in Healthy Indian Infants,CTRI/2022/11/047366,Biological E Limited,Biological E Limited,Phase 3,IN,Asia,"[""Child""]",,BE-PCV-14,,"GMC of anti-PnCPS IgG antibodies pre-booster (Day 270, prior to 9-month booster dose), PP population",Day 270 (pre-booster),GMC,2,186,1,1.11,1.31,0.94,1.03,PCV14 (PneuBevax),,Biological E,pre-boost child,2+1 child,39,,,
Immunogenicity and Safety of BE-PCV14 (PNEUBEVAX 14) vs PCV13 in a 2p+1 Schedule in Healthy Indian Infants,CTRI/2022/11/047366,Biological E Limited,Biological E Limited,Phase 3,IN,Asia,"[""Child""]",,PCV-13,,"GMC of anti-PnCPS IgG antibodies pre-booster (Day 270, prior to 9-month booster dose), PP population",Day 270 (pre-booster),GMC,2,194,1,1.08,1.26,0.92,,PCV13 (Pfizer),,Pfizer,pre-boost child,2+1 child,39,,,
Immunogenicity and Safety of BE-PCV14 (PNEUBEVAX 14) vs PCV13 in a 2p+1 Schedule in Healthy Indian Infants,CTRI/2022/11/047366,Biological E Limited,Biological E Limited,Phase 3,IN,Asia,"[""Child""]",,BE-PCV-14,,"GMC of anti-PnCPS IgG antibodies 1 month post-booster (Day 300), PP population",Day 300 (post-booster),GMC,3,186,1,3.35,3.86,2.90,0.81,PCV14 (PneuBevax),,Biological E,1m post boost child,2+1 child,43,,,
Immunogenicity and Safety of BE-PCV14 (PNEUBEVAX 14) vs PCV13 in a 2p+1 Schedule in Healthy Indian Infants,CTRI/2022/11/047366,Biological E Limited,Biological E Limited,Phase 3,IN,Asia,"[""Child""]",,PCV-13,,"GMC of anti-PnCPS IgG antibodies 1 month post-booster (Day 300), PP population",Day 300 (post-booster),GMC,3,194,1,4.14,4.75,3.61,,PCV13 (Pfizer),,Pfizer,1m post boost child,2+1 child,43,,,
Immunogenicity and Safety of BE-PCV14 (PNEUBEVAX 14) vs PCV13 in a 2p+1 Schedule in Healthy Indian Infants,CTRI/2022/11/047366,Biological E Limited,Biological E Limited,Phase 3,IN,Asia,"[""Child""]",,BE-PCV-14,,"GMC of anti-PnCPS IgG antibodies 1 month after 2nd primary dose (2p+1 schedule: primary doses at 6 & 14 weeks), PP population",Day 84 (post-primary),GMC,2,186,3,0.59,0.66,0.52,1.09,PCV14 (PneuBevax),,Biological E,1m post primary child,2+1 child,12,,,
Immunogenicity and Safety of BE-PCV14 (PNEUBEVAX 14) vs PCV13 in a 2p+1 Schedule in Healthy Indian Infants,CTRI/2022/11/047366,Biological E Limited,Biological E Limited,Phase 3,IN,Asia,"[""Child""]",,PCV-13,,"GMC of anti-PnCPS IgG antibodies 1 month after 2nd primary dose (2p+1 schedule: primary doses at 6 & 14 weeks), PP population",Day 84 (post-primary),GMC,2,194,3,0.54,0.60,0.48,,PCV13 (Pfizer),,Pfizer,1m post primary child,2+1 child,12,,,
Immunogenicity and Safety of BE-PCV14 (PNEUBEVAX 14) vs PCV13 in a 2p+1 Schedule in Healthy Indian Infants,CTRI/2022/11/047366,Biological E Limited,Biological E Limited,Phase 3,IN,Asia,"[""Child""]",,BE-PCV-14,,"GMC of anti-PnCPS IgG antibodies pre-booster (Day 270, prior to 9-month booster dose), PP population",Day 270 (pre-booster),GMC,2,186,3,0.42,0.47,0.37,1.24,PCV14 (PneuBevax),,Biological E,pre-boost child,2+1 child,39,,,
Immunogenicity and Safety of BE-PCV14 (PNEUBEVAX 14) vs PCV13 in a 2p+1 Schedule in Healthy Indian Infants,CTRI/2022/11/047366,Biological E Limited,Biological E Limited,Phase 3,IN,Asia,"[""Child""]",,PCV-13,,"GMC of anti-PnCPS IgG antibodies pre-booster (Day 270, prior to 9-month booster dose), PP population",Day 270 (pre-booster),GMC,2,194,3,0.34,0.38,0.30,,PCV13 (Pfizer),,Pfizer,pre-boost child,2+1 child,39,,,
