serotype,timepoint,schedule,country,vaccine_group,group_total_n,n,gmc_value,gmc_lower_ci,gmc_upper_ci
1,Month 0,3+1,Czech Republic,PHiD-CV,53,51,0.22,0.17,0.27
1,Month 0,3+1,Czech Republic,PCV13,45,45,0.34,0.28,0.42
1,Month 0,2+1,Slovakia,PHiD-CV,39,38,0.27,0.21,0.34
1,Month 0,2+1,Slovakia,PCV13,49,49,0.53,0.45,0.63
1,Month 1,3+1,Czech Republic,PHiD-CV,53,51,3.42,2.72,4.3
1,Month 1,3+1,Czech Republic,PCV13,45,45,2.54,2.1,3.09
1,Month 1,2+1,Slovakia,PHiD-CV,39,38,3.56,2.75,4.61
1,Month 1,2+1,Slovakia,PCV13,49,49,4.31,3.57,5.2
1,Month 12,3+1,Czech Republic,PHiD-CV,53,48,0.4,0.31,0.51
1,Month 12,3+1,Czech Republic,PCV13,45,45,0.28,0.23,0.35
1,Month 12,2+1,Slovakia,PHiD-CV,39,38,0.41,0.32,0.54
1,Month 12,2+1,Slovakia,PCV13,49,49,0.44,0.37,0.52
3,Month 0,3+1,Czech Republic,PHiD-CV,53,50,0.17,0.12,0.23
3,Month 0,3+1,Czech Republic,PCV13,45,45,0.24,0.17,0.33
3,Month 0,2+1,Slovakia,PHiD-CV,39,36,0.16,0.12,0.21
3,Month 0,2+1,Slovakia,PCV13,49,49,0.35,0.26,0.47
3,Month 1,3+1,Czech Republic,PHiD-CV,53,48,1.12,0.93,1.35
3,Month 1,3+1,Czech Republic,PCV13,45,45,0.83,0.64,1.08
3,Month 1,2+1,Slovakia,PHiD-CV,39,34,1.1,0.79,1.54
3,Month 1,2+1,Slovakia,PCV13,49,47,1.17,0.9,1.51
3,Month 12,3+1,Czech Republic,PHiD-CV,53,47,0.23,0.17,0.31
3,Month 12,3+1,Czech Republic,PCV13,45,44,0.2,0.15,0.28
3,Month 12,2+1,Slovakia,PHiD-CV,39,33,0.27,0.18,0.4
3,Month 12,2+1,Slovakia,PCV13,49,47,0.25,0.19,0.33
4,Month 0,3+1,Czech Republic,PHiD-CV,53,51,0.31,0.25,0.39
4,Month 0,3+1,Czech Republic,PCV13,45,45,0.3,0.24,0.37
4,Month 0,2+1,Slovakia,PHiD-CV,39,38,0.37,0.29,0.49
4,Month 0,2+1,Slovakia,PCV13,49,49,0.36,0.3,0.43
4,Month 1,3+1,Czech Republic,PHiD-CV,53,51,2.03,1.72,2.4
4,Month 1,3+1,Czech Republic,PCV13,45,45,2.77,2.23,3.45
4,Month 1,2+1,Slovakia,PHiD-CV,39,38,1.97,1.53,2.53
4,Month 1,2+1,Slovakia,PCV13,49,49,2.58,2.1,3.17
4,Month 12,3+1,Czech Republic,PHiD-CV,53,48,0.21,0.17,0.25
4,Month 12,3+1,Czech Republic,PCV13,45,45,0.23,0.18,0.3
4,Month 12,2+1,Slovakia,PHiD-CV,39,38,0.17,0.13,0.21
4,Month 12,2+1,Slovakia,PCV13,49,49,0.25,0.2,0.31
5,Month 0,3+1,Czech Republic,PHiD-CV,53,51,0.3,0.25,0.36
5,Month 0,3+1,Czech Republic,PCV13,45,45,0.31,0.26,0.38
